Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate,Flavor
open,1000.0,0.0,964.7360000000001,4.5176,1.3744,2.8212,204.856,1000.0,1C7.5G
query,1000.0,0.0,981.3560000000001,0.03,0.0,0.0008,978.76,1000.0,1C7.5G
transfer,1000.0,0.0,965.3639999999999,4.8736,1.5672,2.9951999999999996,188.55200000000002,1000.0,1C7.5G
open,1000.0,0.0,986.796,2.072,1.05,1.5515999999999999,392.084,1000.0,2C7.5G
query,1000.0,0.0,983.6080000000001,0.0176,0.0,0.0,981.2639999999999,1000.0,2C7.5G
transfer,1000.0,0.0,988.9760000000001,2.3952,1.0732,1.7604,346.464,1000.0,2C7.5G
open,1000.0,0.0,974.296,2.7428,0.9932000000000001,1.8188,315.45599999999996,1000.0,2C15G
query,1000.0,0.0,979.788,0.022000000000000002,0.0,0.0,977.24,1000.0,2C15G
transfer,1000.0,0.0,979.572,2.8651999999999997,0.9284,1.9212,282.748,1000.0,2C15G
open,1000.0,0.0,943.904,1.7588,0.6751999999999999,1.254,423.452,1000.0,4C15G
query,1000.0,0.0,983.8439999999999,0.015600000000000001,0.0,0.0,981.26,1000.0,4C15G
transfer,1000.0,0.0,982.748,2.2184,0.7612000000000001,1.568,352.98,1000.0,4C15G
open,1000.0,0.0,958.096,1.7712,0.7736,1.2856,433.536,1000.0,4C30G
query,1000.0,0.0,986.096,0.0168,0.0,0.0,984.24,1000.0,4C30G
transfer,1000.0,0.0,987.444,2.3384,0.6920000000000001,1.6048,361.24,1000.0,4C30G
open,1000.0,0.0,961.4680000000001,1.5848,0.65,1.1516,469.276,1000.0,8C30G
query,1000.0,0.0,987.488,0.016,0.0,0.0,985.456,1000.0,8C30G
transfer,1000.0,0.0,991.512,2.1508,0.4072,1.5412000000000001,383.084,1000.0,8C30G
open,1000.0,0.0,945.428,1.5228,0.604,1.1144,479.616,1000.0,16C60G
query,1000.0,0.0,982.908,0.0132,0.0,0.0,981.22,1000.0,16C60G
transfer,1000.0,0.0,993.98,2.15,0.3396,1.4856,394.7,1000.0,16C60G
