Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate,Netsize
open,1000.0,0.0,985.052,1.9676,0.988,1.452,398.24800000000005,1000.0,4
query,1000.0,0.0,985.78,0.0144,0.0,0.0,984.192,1000.0,4
transfer,1000.0,0.0,989.1239999999999,2.3487999999999998,1.0,1.6764,339.056,1000.0,4
open,1000.0,0.0,990.1160000000001,1.9912,1.0612000000000001,1.4387999999999999,419.45599999999996,1000.0,6
query,1000.0,0.0,984.992,0.0164,0.0,0.0,982.8760000000001,1000.0,6
transfer,1000.0,0.0,988.6160000000001,2.3204,0.7228,1.686,346.184,1000.0,6
open,1000.0,0.0,984.5880000000001,2.54,1.1108,1.8048,321.96,1000.0,8
query,1000.0,0.0,985.768,0.0212,0.0,0.0,983.1039999999999,1000.0,8
transfer,1000.0,0.0,974.6439999999999,2.9788,1.1372,2.0835999999999997,279.46,1000.0,8
open,1000.0,0.0,984.332,2.8156,1.4376,2.022,308.932,1000.0,10
query,1000.0,0.0,983.796,0.0248,0.0,0.0,981.988,1000.0,10
transfer,1000.0,0.0,986.6560000000001,3.1595999999999997,1.1168,2.2156000000000002,275.564,1000.0,10
open,1000.0,0.0,963.072,3.9183999999999997,1.4284000000000001,2.496,227.84400000000002,1000.0,12
query,1000.0,0.0,981.992,0.036000000000000004,0.0,0.0004,979.7719999999999,1000.0,12
transfer,1000.0,0.0,958.88,4.1772,1.3132,2.5980000000000003,210.204,1000.0,12
open,1000.0,0.0,971.072,3.6376,1.2648000000000001,2.4792,254.33599999999998,1000.0,14
query,1000.0,0.0,976.54,0.0576,0.0,0.012,960.404,1000.0,14
transfer,1000.0,0.0,953.3480000000001,3.7448,1.2316,2.5544,238.732,1000.0,14
open,1000.0,0.0,975.2047619047619,3.845714285714286,1.3328571428571427,2.6604761904761904,245.00476190476192,1000.0,16
query,1000.0,0.0,978.695238095238,0.041428571428571426,0.0,0.0004761904761904762,976.6142857142858,1000.0,16
transfer,1000.0,0.0,963.5238095238095,3.6642857142857146,1.2057142857142857,2.7347619047619047,243.13333333333335,1000.0,16
open,1000.0,0.0,977.2439999999999,3.9995999999999996,1.4584000000000001,2.7256,222.48,1000.0,18
query,1000.0,0.0,979.1160000000001,0.044800000000000006,0.0,0.0008,976.74,1000.0,18
transfer,1000.0,0.0,963.5239999999999,3.8695999999999997,1.2908000000000002,2.7207999999999997,222.84400000000002,1000.0,18
open,1000.0,0.0,971.6239999999999,4.3656,1.5112,2.7396,208.3,1000.0,20
query,1000.0,0.0,979.192,0.0536,0.0,0.0012000000000000001,974.1360000000001,1000.0,20
transfer,1000.0,0.0,955.456,4.5656,1.6076,3.0436,199.912,1000.0,20
open,1000.0,0.0,974.44,5.0596,1.3840000000000001,3.3188,193.472,1000.0,22
query,1000.0,0.0,977.336,0.0748,0.0,0.0044,969.12,1000.0,22
transfer,1000.0,0.0,958.696,4.85,1.6303999999999998,3.2727999999999997,193.62,1000.0,22
open,1000.0,0.0,979.164,4.1504,1.5372,2.9016,218.58,1000.0,24
query,1000.0,0.0,971.7719999999999,0.0504,0.0,0.0008,969.2239999999999,1000.0,24
transfer,1000.0,0.0,956.192,4.2336,1.4864000000000002,3.0288,208.46,1000.0,24
open,1000.0,0.0,964.92,4.8892,1.6344,3.392,199.86,1000.0,26
query,1000.0,0.0,974.9680000000001,0.0676,0.0,0.0084,968.028,1000.0,26
transfer,1000.0,0.0,947.508,5.029599999999999,1.8808,3.6024000000000003,180.94,1000.0,26
open,1000.0,0.0,973.012,4.822,1.5392,3.3068,198.636,1000.0,28
query,1000.0,0.0,975.436,0.064,0.0,0.0016,970.82,1000.0,28
transfer,1000.0,0.0,969.704,4.8732,1.91,3.4183999999999997,186.00400000000002,1000.0,28
open,1000.0,0.0,971.472,5.4508,1.5664000000000002,3.6484000000000005,174.976,1000.0,30
query,1000.0,0.0,974.372,0.076,0.0,0.0044,970.1360000000001,1000.0,30
transfer,1000.0,0.0,950.2280000000001,5.610399999999999,2.2864,3.9760000000000004,162.756,1000.0,30
open,1000.0,0.0,969.64,4.74,1.5532,3.3012,191.248,1000.0,32
query,1000.0,0.0,976.572,0.0644,0.0,0.0016,973.748,1000.0,32
transfer,1000.0,0.0,958.4119999999999,4.9236,1.7176000000000002,3.4764,183.09599999999998,1000.0,32
open,1000.0,0.0,963.9639999999999,5.2476,1.3588,3.4504,178.83599999999998,1000.0,34
query,1000.0,0.0,971.42,0.0752,0.0,0.004,965.4839999999999,1000.0,34
transfer,1000.0,0.0,941.556,6.0120000000000005,2.2572,4.1171999999999995,158.78,1000.0,34
open,1000.0,0.0,980.176,3.9456,1.5928,2.8236000000000003,227.53599999999997,1000.0,36
query,1000.0,0.0,978.552,0.0576,0.0,0.0008,974.352,1000.0,36
transfer,1000.0,0.0,974.9839999999999,4.162,1.5204,2.9707999999999997,218.292,1000.0,36
