Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate,Flavor
open,1000.0,0.0,980.88,5.2188,2.4452000000000003,3.6376,174.632,1000.0,1C7.5G
query,1000.0,0.0,970.9639999999999,0.0984,0.0,0.0032,966.924,1000.0,1C7.5G
transfer,1000.0,0.0,950.7560000000001,5.1824,1.7112,3.542,175.56,1000.0,1C7.5G
open,1000.0,0.0,984.5880000000001,2.54,1.1108,1.8048,321.96,1000.0,2C7.5G
query,1000.0,0.0,985.768,0.0212,0.0,0.0,983.1039999999999,1000.0,2C7.5G
transfer,1000.0,0.0,974.6439999999999,2.9788,1.1372,2.0835999999999997,279.46,1000.0,2C7.5G
open,1000.0,0.0,988.3560000000001,2.3468,1.2476,1.724,359.716,1000.0,2C15G
query,1000.0,0.0,984.628,0.0184,0.0,0.0,982.1519999999999,1000.0,2C15G
transfer,1000.0,0.0,992.6439999999999,2.8132,1.1248,2.0164,298.756,1000.0,2C15G
open,1000.0,0.0,983.6360000000001,1.5568,0.8436,1.2031999999999998,470.028,1000.0,4C15G
query,1000.0,0.0,983.128,0.0192,0.0,0.0,980.8960000000001,1000.0,4C15G
transfer,1000.0,0.0,987.62,2.4507999999999996,0.7352,1.8204,353.94800000000004,1000.0,4C15G
open,1000.0,0.0,982.612,1.7888,0.8944,1.3412,430.084,1000.0,4C30G
query,1000.0,0.0,982.212,0.0196,0.0,0.0,979.7560000000001,1000.0,4C30G
transfer,1000.0,0.0,984.404,2.282,1.0928,1.6876,371.18800000000005,1000.0,4C30G
open,1000.0,0.0,985.32,1.5144,0.7968000000000001,1.1623999999999999,478.56800000000004,1000.0,8C30G
query,1000.0,0.0,983.68,0.016,0.0,0.0,981.668,1000.0,8C30G
transfer,1000.0,0.0,990.888,2.3756,0.5512,1.7748,365.736,1000.0,8C30G
open,1000.0,0.0,949.18,1.5224000000000002,0.69,1.1179999999999999,468.056,1000.0,16C60G
query,1000.0,0.0,983.08,0.013999999999999999,0.0,0.0,981.04,1000.0,16C60G
transfer,1000.0,0.0,991.544,2.204,0.8592,1.6507999999999998,389.784,1000.0,16C60G
