Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate,Netsize
open,1000.0,0.0,993.6,2.1904,0.9688,1.5191999999999999,397.64,1000.0,4
query,1000.0,0.0,986.132,0.0132,0.0,0.0,984.188,1000.0,4
transfer,1000.0,0.0,992.28,2.3904,1.0632,1.7380000000000002,356.352,1000.0,4
open,1000.0,0.0,992.596,1.946,1.0004,1.4368,430.5,1000.0,6
query,1000.0,0.0,987.816,0.0176,0.0,0.0,985.7280000000001,1000.0,6
transfer,1000.0,0.0,993.788,2.41,1.3056,1.8268,368.55199999999996,1000.0,6
open,1000.0,0.0,993.6360000000001,1.7808000000000002,0.9336,1.354,442.464,1000.0,8
query,1000.0,0.0,987.296,0.016800000000000002,0.0,0.0,985.676,1000.0,8
transfer,1000.0,0.0,994.488,2.5028,1.3088,1.8876,349.224,1000.0,8
open,1000.0,0.0,993.592,2.1292,1.032,1.5004,396.176,1000.0,10
query,1000.0,0.0,984.2360000000001,0.0228,0.0,0.0,981.928,1000.0,10
transfer,1000.0,0.0,991.7919999999999,2.3472,1.2356,1.7475999999999998,359.96,1000.0,10
open,1000.0,0.0,986.94,2.102,1.0596,1.5344,389.13199999999995,1000.0,12
query,1000.0,0.0,986.58,0.0252,0.0,0.0,984.132,1000.0,12
transfer,1000.0,0.0,987.34,2.2763999999999998,1.2012,1.7356,357.244,1000.0,12
open,1000.0,0.0,988.7719999999999,2.0728,1.1208,1.5688,387.94800000000004,1000.0,14
query,1000.0,0.0,986.824,0.018799999999999997,0.0,0.0,983.696,1000.0,14
transfer,1000.0,0.0,987.596,2.2691999999999997,1.2052,1.7244,358.936,1000.0,14
open,1000.0,0.0,983.06,2.4676,1.28,1.8356000000000001,321.86,1000.0,16
query,1000.0,0.0,984.4639999999999,0.0348,0.0,0.0,980.8839999999999,1000.0,16
transfer,1000.0,0.0,979.7439999999999,2.7192000000000003,1.1152,2.0032,313.816,1000.0,16
open,1000.0,0.0,982.44,2.8656,1.3563999999999998,2.0076,291.24,1000.0,18
query,1000.0,0.0,979.956,0.0392,0.0,0.0,977.076,1000.0,18
transfer,1000.0,0.0,977.492,2.85,1.2096,2.1352,291.232,1000.0,18
open,1000.0,0.0,977.3839999999999,2.7076,1.3119999999999998,2.0396,304.288,1000.0,20
query,1000.0,0.0,985.888,0.0296,0.0,0.0,983.7560000000001,1000.0,20
transfer,1000.0,0.0,987.6039999999999,2.812,1.0864,2.1336,297.79200000000003,1000.0,20
open,1000.0,0.0,982.316,3.0812,1.4444,2.2256,273.036,1000.0,22
query,1000.0,0.0,980.5319999999999,0.037200000000000004,0.0,0.0,978.692,1000.0,22
transfer,1000.0,0.0,979.7439999999999,3.2976,1.2248,2.4175999999999997,260.936,1000.0,22
open,1000.0,0.0,969.7,3.2468,1.28,2.2996,266.948,1000.0,24
query,1000.0,0.0,981.18,0.047599999999999996,0.0,0.0,977.6360000000001,1000.0,24
transfer,1000.0,0.0,980.564,3.4084000000000003,1.406,2.5376,247.736,1000.0,24
open,1000.0,0.0,973.404,3.0164,1.368,2.22,286.60400000000004,1000.0,26
query,1000.0,0.0,982.312,0.046799999999999994,0.0,0.0,977.3760000000001,1000.0,26
transfer,1000.0,0.0,989.548,2.99,1.4636000000000002,2.3152,276.884,1000.0,26
open,1000.0,0.0,969.5600000000001,3.124,1.3115,2.3295000000000003,267.365,1000.0,28
query,1000.0,0.0,978.99,0.0505,0.0,0.0,976.4950000000001,1000.0,28
transfer,1000.0,0.0,976.47,3.5524999999999998,1.282,2.556,248.35,1000.0,28
open,1000.0,0.0,987.648,2.8276,1.3832,2.22,291.14799999999997,1000.0,30
query,1000.0,0.0,976.048,0.0492,0.0,0.0,972.676,1000.0,30
transfer,1000.0,0.0,985.408,3.0792,1.3408000000000002,2.3491999999999997,269.684,1000.0,30
open,1000.0,0.0,980.248,3.1883999999999997,1.3052000000000001,2.4192,266.69599999999997,1000.0,32
query,1000.0,0.0,984.096,0.042800000000000005,0.0,0.0,981.1439999999999,1000.0,32
transfer,1000.0,0.0,980.568,3.2851999999999997,1.4436000000000002,2.484,259.63599999999997,1000.0,32
open,1000.0,0.0,974.5466666666667,3.6646666666666667,1.1753333333333333,2.5953333333333335,246.47333333333333,1000.0,34
query,1000.0,0.0,976.2,0.05,0.0,0.0,971.8733333333333,1000.0,34
transfer,1000.0,0.0,930.4866666666666,4.4446666666666665,1.4053333333333333,2.918,211.8,1000.0,34
open,1000.0,0.0,972.612,3.6756,1.204,2.6244,234.136,1000.0,36
query,1000.0,0.0,982.58,0.0516,0.0,0.0004,979.8919999999999,1000.0,36
transfer,1000.0,0.0,971.8960000000001,3.9108,1.29,2.7568,227.16,1000.0,36
