Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate,Flavor
open,1000.0,0.0,980.408,3.3575999999999997,1.4176,2.1688,266.084,1000.0,1C7.5G
query,1000.0,0.0,987.66,0.02,0.0,0.0,985.904,1000.0,1C7.5G
transfer,1000.0,0.0,964.0,3.9212000000000002,1.3112000000000001,2.5144,240.312,1000.0,1C7.5G
open,1000.0,0.0,993.6360000000001,1.7808000000000002,0.9336,1.354,442.464,1000.0,2C7.5G
query,1000.0,0.0,987.296,0.016800000000000002,0.0,0.0,985.676,1000.0,2C7.5G
transfer,1000.0,0.0,994.488,2.5028,1.3088,1.8876,349.224,1000.0,2C7.5G
open,1000.0,0.0,992.6,2.0412,0.9732,1.4444,413.84,1000.0,2C15G
query,1000.0,0.0,984.9639999999999,0.016,0.0,0.0,982.0319999999999,1000.0,2C15G
transfer,1000.0,0.0,982.3960000000001,2.3244,0.9972,1.7156,365.88,1000.0,2C15G
open,1000.0,0.0,990.64,1.7456,0.8964,1.2752,477.06,1000.0,4C15G
query,1000.0,0.0,988.08,0.0124,0.0,0.0,985.632,1000.0,4C15G
transfer,1000.0,0.0,992.62,2.3436000000000003,0.3028,1.6380000000000001,390.44,1000.0,4C15G
open,1000.0,0.0,994.28,1.6484,0.8012,1.21,488.164,1000.0,4C30G
query,1000.0,0.0,989.456,0.016399999999999998,0.0,0.0,986.84,1000.0,4C30G
transfer,1000.0,0.0,994.332,2.26,0.24359999999999998,1.5996000000000001,403.436,1000.0,4C30G
open,1000.0,0.0,995.25,1.6527272727272726,0.8031818181818182,1.1972727272727273,492.6181818181818,1000.0,8C30G
query,1000.0,0.0,989.5863636363637,0.014545454545454545,0.0,0.0,987.2909090909092,1000.0,8C30G
transfer,1000.0,0.0,994.0181818181819,2.152727272727273,0.26136363636363635,1.4386363636363635,424.12272727272733,1000.0,8C30G
open,1000.0,0.0,993.5239999999999,1.516,0.7216,1.1212,496.48,1000.0,16C60G
query,1000.0,0.0,988.572,0.0164,0.0,0.0,985.72,1000.0,16C60G
transfer,1000.0,0.0,994.6360000000001,2.1248,0.2444,1.4596,438.95599999999996,1000.0,16C60G
