,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate
0,open,1000,0,100.4,1.48,0.29,0.92,93.3,100
1,query,1000,0,100.3,0.07,0.0,0.0,100.3,100
2,transfer,1000,0,100.4,1.44,0.24,0.84,95.3,100
0,open,1000,0,100.3,1.34,0.2,0.76,93.1,100
1,query,1000,0,100.2,0.03,0.0,0.0,100.2,100
2,transfer,1000,0,100.2,1.37,0.16,0.79,94.7,100
0,open,1000,0,100.5,1.33,0.18,0.73,92.8,100
1,query,1000,0,100.4,0.02,0.0,0.0,100.4,100
2,transfer,1000,0,100.4,1.34,0.19,0.78,94.8,100
0,open,1000,0,100.4,1.25,0.19,0.7,92.6,100
1,query,1000,0,100.1,0.03,0.0,0.0,100.1,100
2,transfer,1000,0,100.5,1.38,0.1,0.75,95.2,100
0,open,1000,0,100.5,1.26,0.17,0.7,92.4,100
1,query,1000,0,100.4,0.02,0.0,0.0,100.3,100
2,transfer,1000,0,100.3,1.33,0.19,0.76,94.8,100
0,open,1000,0,1002.0,6.05,1.77,4.26,165.2,1000
1,query,1000,0,991.1,0.02,0.0,0.0,989.1,1000
2,transfer,1000,0,999.0,10.14,0.72,6.42,93.5,1000
0,open,1000,0,946.1,5.62,1.69,3.65,175.8,1000
1,query,1000,0,956.0,0.04,0.0,0.0,954.2,1000
2,transfer,1000,0,989.1,5.36,1.75,3.68,164.3,1000
0,open,1000,0,972.8,6.6,1.49,4.37,149.8,1000
1,query,1000,0,983.3,0.02,0.0,0.0,981.4,1000
2,transfer,1000,0,949.7,5.44,2.21,4.42,174.2,1000
0,open,1000,0,966.2,6.84,1.6,4.43,145.4,1000
1,query,1000,0,992.1,0.03,0.0,0.0,990.1,1000
2,transfer,1000,0,997.0,7.59,1.57,4.6,118.8,1000
0,open,1000,0,1001.0,7.58,2.1,4.92,131.6,1000
1,query,1000,0,991.1,0.03,0.0,0.0,989.1,1000
2,transfer,1000,0,995.0,5.53,1.93,3.83,164.0,1000
0,open,1000,0,200.4,1.48,0.29,0.94,169.9,200
1,query,1000,0,199.6,0.01,0.0,0.0,199.6,200
2,transfer,1000,0,200.9,1.85,0.16,1.07,177.2,200
0,open,1000,0,200.8,1.54,0.32,0.95,171.3,200
1,query,1000,0,200.3,0.02,0.0,0.0,200.2,200
2,transfer,1000,0,198.8,1.58,0.21,0.98,177.0,200
0,open,1000,0,199.6,1.51,0.29,0.97,170.6,200
1,query,1000,0,200.6,0.01,0.0,0.0,200.5,200
2,transfer,1000,0,200.6,1.62,0.25,0.98,177.4,200
0,open,1000,0,200.1,1.56,0.35,0.92,170.9,200
1,query,1000,0,199.5,0.02,0.0,0.0,199.4,200
2,transfer,1000,0,200.3,1.7,0.12,1.05,178.6,200
0,open,1000,0,200.0,1.53,0.34,0.92,171.1,200
1,query,1000,0,199.7,0.03,0.0,0.0,199.6,200
2,transfer,1000,0,200.8,1.78,0.16,1.06,178.8,200
0,open,1000,0,299.5,2.44,0.89,1.64,222.6,300
1,query,1000,0,300.6,0.02,0.0,0.0,300.4,300
2,transfer,1000,0,300.8,2.45,0.36,1.66,216.6,300
