Rate,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS)
100,open,1000.0,0.0,100.39200000000001,1.2556,0.142,0.6776000000000001,93.704
100,query,1000.0,0.0,100.35600000000001,0.036000000000000004,0.0,0.0,100.316
100,transfer,1000.0,0.0,100.384,1.2436,0.1264,0.6908,94.88
200,open,1000.0,0.0,200.48,1.3248000000000002,0.1928,0.7515999999999999,172.792
200,query,1000.0,0.0,200.312,0.018799999999999997,0.0,0.0,200.22
200,transfer,1000.0,0.0,200.548,1.3988,0.16440000000000002,0.8148000000000001,178.84799999999998
300,open,1000.0,0.0,300.012,1.5091999999999999,0.2816,0.8648,253.49599999999998
300,query,1000.0,0.0,299.84,0.0212,0.0,0.0,299.64
300,transfer,1000.0,0.0,299.776,1.5988,0.45520000000000005,0.9984000000000001,243.648
400,open,1000.0,0.0,399.62800000000004,1.6740000000000002,0.4144,0.9732,322.952
400,query,1000.0,0.0,398.756,0.0152,0.0,0.0,398.42400000000004
400,transfer,1000.0,0.0,400.084,1.8688,0.4224,1.088,301.3
500,open,1000.0,0.0,498.668,1.7924,0.5324,1.1076000000000001,339.816
500,query,1000.0,0.0,498.10400000000004,0.0196,0.0,0.0,497.50800000000004
500,transfer,1000.0,0.0,494.46,2.102,0.3044,1.2819999999999998,340.272
600,open,1000.0,0.0,592.156,1.7448,0.6524,1.1867999999999999,371.23199999999997
600,query,1000.0,0.0,597.5319999999999,0.0204,0.0,0.0,596.804
600,transfer,1000.0,0.0,586.7040000000001,2.0496,0.7524,1.4552,347.856
700,open,1000.0,0.0,680.2280000000001,1.7724000000000002,0.7864,1.2844,408.084
700,query,1000.0,0.0,695.98,0.0168,0.0,0.0,695.06
700,transfer,1000.0,0.0,697.752,2.2092,0.6831999999999999,1.4768000000000001,360.664
800,open,1000.0,0.0,795.936,1.8163999999999998,0.9288,1.3272,411.60400000000004
800,query,1000.0,0.0,795.312,0.0144,0.0,0.0,794.3960000000001
800,transfer,1000.0,0.0,795.296,2.1532,0.9968,1.5368000000000002,365.592
900,open,1000.0,0.0,894.42,1.776,0.956,1.3412,431.51199999999994
900,query,1000.0,0.0,891.86,0.016399999999999998,0.0,0.0,890.596
900,transfer,1000.0,0.0,894.6519999999999,2.0796,1.1464,1.604,381.3
1000,open,1000.0,0.0,993.6360000000001,1.7808000000000002,0.9336,1.354,442.464
1000,query,1000.0,0.0,987.296,0.016800000000000002,0.0,0.0,985.676
1000,transfer,1000.0,0.0,994.488,2.5028,1.3088,1.8876,349.224
1100,open,1000.0,0.0,1082.228,2.4292,1.1256,1.71,353.792
1100,query,1000.0,0.0,1076.256,0.0228,0.0,0.0,1074.048
1100,transfer,1000.0,0.0,1073.7160000000001,2.5312,1.176,1.9247999999999998,320.028
1200,open,1000.0,0.0,1176.752,2.2124,1.0364,1.6008000000000002,372.744
1200,query,1000.0,0.0,1166.18,0.0168,0.0,0.0,1163.64
